Mã CK,Sàn niêm yết,Tên Doanh Nghiệp (Tiếng Việt),Tên Tiếng Anh (English Name),Trang chủ (Website),Cổng Cổ đông (IR Portal),Ngành ICB Cấp 1,Ngành ICB Cấp 2,Mã ISIN Quốc tế,Giá tham chiếu (VND),Trạng thái giao dịch
MIG,HOSE,Tổng Công ty Cổ phần Bảo hiểm Quân đội,Military Insurance Corporation,https://mic.vn,https://mic.vn/quan-he-co-dong,Tài chính,Bảo hiểm,VN000000MIG9,15950,Đang giao dịch
MSB,HOSE,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam,Vietnam Maritime Commercial Joint Stock Bank,https://msb.com.vn,https://msb.com.vn/quan-he-nha-dau-tuOCBNg,Tài chính,Ngân hàng,VN000000MSB9,12900,Đang giao dịch
MSH,HOSE,Công ty Cổ phần May Sông Hồng,Song Hong Garment Joint Stock Company,http://songhong.vn,http://songhong.vn/quan-he-co-dong,Hàng tiêu dùng,Hàng cá nhân & May mặc,VN000000MSH6,30500,Đang giao dịch
MSN,HOSE,Công ty Cổ phần Tập đoàn MaSan,Masan Group Corporation,https://masangroup.com,https://masangroup.com/vi/investor-relations,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000MSN4,68400,Đang giao dịch
MWG,HOSE,Công ty Cổ phần Đầu tư Thế Giới Di Động,Mobile World Investment Corporation,https://mwg.vn,https://mwg.vn/quan-he-co-dong,Dịch vụ tiêu dùng & Bán lẻ,Bán lẻ tổng hợp,VN000000MWG0,71600,Đang giao dịch
MZG,HOSE,Công ty Cổ phần Miza,MIZA CORPORATION,https://miza.vn,https://miza.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000MZG3,12450,Đang giao dịch
NAB,HOSE,Ngân hàng Thương mại Cổ phần Nam Á,Nam A Commercial Joint Stock Bank,https://namabank.com.vn,https://namabank.com.vn/quan-he-co-dong,Tài chính,Ngân hàng,VN000000NAB5,11250,Đang giao dịch
NAF,HOSE,Công ty Cổ phần Nafoods Group,Nafoods Group Joint Stock Company,https://nafoods.com,https://nafoods.com/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000NAF6,48300,Đang giao dịch
NAV,HOSE,Công ty Cổ phần Nam Việt,Nam Viet Joint Stock Company,http://navifico.vn,http://navifico.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000NAV3,13800,Đang giao dịch
NBB,HOSE,Công ty Cổ phần Đầu tư Năm Bảy Bảy,577 Investment Corporation,http://nbb.com.vn,http://nbb.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000NBB3,17050,Đang giao dịch
NCT,HOSE,Công ty Cổ phần Dịch vụ Hàng hóa Nội Bài,Noibai Cargo Terminal Services Joint Stock Company,http://noibaicargo.com.vn,http://noibaicargo.com.vn/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000NCT3,85500,Đang giao dịch
NHA,HOSE,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội,Ha Noi South Housing And Urban Development Corporation,https://namhanoi.com.vn,https://namhanoi.com.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000NHA2,7650,Đang giao dịch
NHH,HOSE,Công ty Cổ phần Nhựa Hà Nội,Hanoi Plastics Joint Stock Company,https://hanoiplastics.com.vn,https://hanoiplastics.com.vn/quan-he-co-dong,Công nghiệp,Cơ khí & Chế tạo,VN000000NHH7,9750,Đang giao dịch
NHT,HOSE,Công ty Cổ phần Sản xuất và Thương mại Nam Hoa,Nam Hoa Trading and Production Corporation,https://namhoatoys.vn,https://namhoatoys.vn/quan-he-co-dong,Dịch vụ tiêu dùng & Bán lẻ,Bán lẻ tổng hợp,VN000000NHT2,11350,Đang giao dịch
NKG,HOSE,Công ty Cổ phần Thép Nam Kim,Nam Kim Steel Joint Stock Company,https://namkimgroup.vn,https://namkimgroup.vn/quan-he-co-dong,Nguyên vật liệu,Thép & Kim loại,VN000000NKG3,10750,Đang giao dịch
NLG,HOSE,Công ty Cổ phần Đầu tư Nam Long,Nam Long Investment Corporation,https://namlongvn.com,https://namlongvn.com/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000NLG1,25250,Đang giao dịch
NNC,HOSE,Công ty Cổ phần Đá Núi Nhỏ,Nui Nho Stone Co-Operation,http://nuinho.vn,http://nuinho.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000NNC6,40400,Đang giao dịch
NO1,HOSE,Công ty Cổ phần Tập đoàn 911,911 Group Joint Stock Company,https://911group.com.vn,https://911group.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000NO19,4110,Đang giao dịch
NSC,HOSE,Công ty Cổ phần Tập đoàn Giống cây trồng Việt Nam,Vietnam National Seed Group Joint Stock Company,https://vinaseed.com.vn,https://vinaseed.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000NSC5,65500,Đang giao dịch
NT2,HOSE,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,PetroVietnam Power Nhon Trach 2 Joint Stock Company,https://pvpnt2.vn,https://pvpnt2.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000NT22,20650,Đang giao dịch
NTC,HOSE,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,Nam Tan Uyen Joint Stock Corporation,http://namtanuyen.com.vn,http://namtanuyen.com.vn/quan-he-co-dong,Bất động sản,Bất động sản khu công nghiệp,VN000000NTC3,128500,Đang giao dịch
NTL,HOSE,Công ty Cổ phần Phát triển Đô thị Từ Liêm,Tu Liem Urban Development Joint Stock Company,http://lideco.vn,http://lideco.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000NTL4,12350,Đang giao dịch
NVL,HOSE,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va,No Va Land Investment Group Corporation,https://novaland.com.vn,https://novaland.com.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000NVL0,13000,Đang giao dịch
NVT,HOSE,Công ty Cổ phần Bất động sản Du lịch Ninh Vân Bay,Ninh Van Bay Travel Real Estate Joint Stock Company,http://ninhvanbay.vn,http://ninhvanbay.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000NVT3,7980,Đang giao dịch
OCB,HOSE,Ngân hàng Thương mại Cổ phần Phương Đông,Orient Commercial Joint Stock Bank,https://ocb.com.vn,https://ocb.com.vn/quan-he-nha-dau-tuSHBNg,Tài chính,Ngân hàng,VN000000OCB9,10150,Đang giao dịch
OGC,HOSE,Công ty Cổ phần Tập đoàn Đại Dương,Ocean Group Joint Stock Company,https://oceangroup.vn,https://oceangroup.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000OGC8,2130,Đang giao dịch
OPC,HOSE,Công ty Cổ phần Dược phẩm OPC,OPC Pharmaceutical Joint Stock Company,https://opcpharma.com,https://opcpharma.com/quan-he-co-dong,Y tế & Chăm sóc sức khỏe,Dược phẩm,VN000000OPC9,20050,Đang giao dịch
ORS,HOSE,Công ty Cổ phần Chứng khoán Tiên Phong,Tien Phong Securities Corporation,https://tps.vn,https://tps.vn/quan-he-co-dong,Tài chính,Dịch vụ Tài chính / Chứng khoán,VN000000ORS1,13550,Đang giao dịch
PAC,HOSE,Công ty Cổ phần Pin Ắc quy miền Nam,Dry Cell and Storage Battery Joint Stock Company,https://pinaco.com,https://pinaco.com/quan-he-co-dong,Nguyên vật liệu,Hóa chất & Phân bón,VN000000PAC8,14700,Đang giao dịch
PAN,HOSE,Công ty Cổ phần Tập đoàn PAN,The PAN Group Joint Stock Company,https://thepangroup.vn,https://thepangroup.vn/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000PAN5,18650,Đang giao dịch
PC1,HOSE,Công ty Cổ phần Tập đoàn PC1,PC1 Group Joint Stock Company,https://pc1group.vn,https://pc1group.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000PC11,20700,Đang giao dịch
PDN,HOSE,Công ty Cổ phần Cảng Đồng Nai,Dong Nai Port Joint Stock Company,http://dongnai-port.com,http://dongnai-port.com/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000PDN9,85800,Đang giao dịch
PDR,HOSE,Công ty Cổ phần Phát triển Bất động sản Phát Đạt,Phat Dat Real Estate Development Corp,https://phatdat.com.vn,https://phatdat.com.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000PDR0,12000,Đang giao dịch
PDV,HOSE,Công ty Cổ phần Vận tải và Tiếp vận Phương Đông Việt,Phuong Dong Viet Shipping and Logistics Corporation,https://pvtlogistics.vn,https://pvtlogistics.vn/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000PDV2,8320,Đang giao dịch
PET,HOSE,Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,Petrovietnam General Services Corporation,https://petrosetco.com.vn,https://petrosetco.com.vn/quan-he-co-dong,Dịch vụ tiêu dùng & Bán lẻ,Bán lẻ tổng hợp,VN000000PET4,37950,Đang giao dịch
PGC,HOSE,Tổng Công ty Gas Petrolimex - Công ty Cổ phần,Petrolimex Gas Corporation - JSC,https://pgas.petrolimex.com.vn,https://pgas.petrolimex.com.vn/quan-he-co-dong,Dầu khí & Năng lượng,Thăm dò & Khai thác Dầu khí,VN000000PGC5,13800,Đang giao dịch
PGD,HOSE,Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam,Petro Viet Nam Low Pressure GAS Distribution Joint Stock Company,https://pvgasd.com.vn,https://pvgasd.com.vn/quan-he-co-dong,Dầu khí & Năng lượng,Thăm dò & Khai thác Dầu khí,VN000000PGD3,21800,Đang giao dịch
PGI,HOSE,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Petrolimex Insurance Corporation,https://pjico.com.vn,https://pjico.com.vn/quan-he-co-dong,Tài chính,Bảo hiểm,VN000000PGI2,23000,Đang giao dịch
PGV,HOSE,Tổng Công ty Phát điện 3 - Công ty Cổ phần,Power Generation Joint Stock Company,https://genco3.com,https://genco3.com/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000PGV5,21350,Đang giao dịch
PHC,HOSE,Công ty Cổ phần Xây dựng Phục Hưng Holdings,Phuc Hung Holdings Construction Joint Stock Company,http://phuchung.com.vn,http://phuchung.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000PHC3,3980,Đang giao dịch
PHR,HOSE,Công ty Cổ phần Cao su Phước Hòa,Phuoc Hoa Rubber Joint Stock Company,https://phr.vn,https://phr.vn/quan-he-co-dong,Nguyên vật liệu,Hóa chất & Phân bón,VN000000PHR1,61400,Đang giao dịch
PIT,HOSE,Công ty Cổ phần Xuất nhập khẩu Petrolimex,Petrolimex International Trading Joint Stock Company,http://pitco.com.vn,http://pitco.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000PIT5,8800,Đang giao dịch
PJT,HOSE,Công ty Cổ phần Vận tải Xăng dầu Đường thủy Petrolimex,Petrolimex Joint Stock Tanker Company,https://pjtaco.petrolimex.com.vn,https://pjtaco.petrolimex.com.vn/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000PJT3,9190,Đang giao dịch
PLP,HOSE,Công ty Cổ phần Sản xuất và Công nghệ Nhựa Pha Lê,Pha Le Plastics Manufacturing and Technology Joint Stock Company,https://phaleplastics.com.vn,https://phaleplastics.com.vn/quan-he-co-dong,Công nghệ Thông tin,Phần mềm & Dịch vụ CNTT,VN000000PLP7,4610,Đang giao dịch
PLX,HOSE,Tập đoàn Xăng dầu Việt Nam,Viet Nam National Petroleum Group,https://petrolimex.com.vn,https://petrolimex.com.vn/quan-he-co-dong,Dầu khí & Năng lượng,Thăm dò & Khai thác Dầu khí,VN000000PLX1,35800,Đang giao dịch
PMG,HOSE,Công ty Cổ phần Đầu tư và Sản xuất Petro Miền Trung,Petro Center Corporation,http://petrocenter.com.vn,http://petrocenter.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000PMG4,6500,Đang giao dịch
PNC,HOSE,Công ty Cổ phần Văn hóa Phương Nam,Phuong Nam Cultural Joint Stock Corporation,https://pnc.com.vn,https://pnc.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000PNC1,25900,Đang giao dịch
PNJ,HOSE,Công ty Cổ phần Vàng bạc Đá quý Phú Nhuận,Phu Nhuan Jewelry Joint Stock Company,https://pnj.com.vn,https://pnj.com.vn/quan-he-co-dong,Hàng tiêu dùng,Hàng cá nhân & May mặc,VN000000PNJ6,37950,Đang giao dịch
POW,HOSE,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP,PetroVietnam Power Corporation,https://pvpower.vn,https://pvpower.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000POW7,12900,Đang giao dịch
PPC,HOSE,Công ty Cổ phần Nhiệt điện Phả Lại,Pha Lai Thermal Power Joint Stock Company,http://ppc.evn.vn,http://ppc.evn.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000PPC6,8860,Đang giao dịch
PTB,HOSE,Công ty Cổ phần Phú Tài,Phu Tai Joint Stock Company,https://phutai.com.vn,https://phutai.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000PTB0,31000,Đang giao dịch
PTC,HOSE,Công ty Cổ phần Đầu tư iCapital,iCapital Investment Joint Stock Company,https://ptic.vn,https://ptic.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000PTC8,5690,Đang giao dịch
PTL,HOSE,Công ty Cổ phần Victory Group,Victory Group Joint Stock Company,https://victorygroup.vn,https://victorygroup.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000PTL9,1750,Đang giao dịch
PVD,HOSE,Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí,PetroVietNam Drilling & Well Service Corporation,https://pvdrilling.com.vn,https://pvdrilling.com.vn/quan-he-co-dong,Dầu khí & Năng lượng,Thăm dò & Khai thác Dầu khí,VN000000PVD2,18650,Đang giao dịch
PVP,HOSE,Công ty Cổ phần Vận tải Dầu khí Thái Bình Dương,Pacific Petroleum Transportation Joint Stock Company,https://pacificshipping.vn,https://pacificshipping.vn/quan-he-co-dong,Dầu khí & Năng lượng,Thăm dò & Khai thác Dầu khí,VN000000PVP6,19000,Đang giao dịch
PVT,HOSE,Tổng Công ty Cổ phần Vận tải Dầu khí,PetroVietNam Transportation Corporation,https://pvtrans.com,https://pvtrans.com/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000PVT8,21000,Đang giao dịch
QCG,HOSE,Công ty Cổ phần Quốc Cường Gia Lai,Quoc Cuong Gia Lai Joint Stock Company,http://quoccuonggialai.com.vn,http://quoccuonggialai.com.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000QCG3,10850,Đang giao dịch
QNP,HOSE,Công ty Cổ phần Cảng Quy Nhơn,Quy Nhon Port Joint Stock Company,https://quynhonport.vn,https://quynhonport.vn/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000QNP1,31400,Đang giao dịch
RAL,HOSE,Công ty Cổ phần Bóng đèn Phích nước Rạng Đông,Rangdong Light Source and Vacuum Flask Joint Stock Company,https://rangdong.com.vn,https://rangdong.com.vn/quan-he-co-dong,Tiện ích cộng đồng,Nước & Xử lý chất thải,VN000000RAL5,75000,Đang giao dịch
REE,HOSE,Công ty Cổ phần Cơ Điện Lạnh,Refrigeration Electrical Engineering Corporation,https://ree.com.vn,https://ree.com.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000REE2,45400,Đang giao dịch
RYG,HOSE,Công ty Cổ phần Sản xuất và Đầu tư Hoàng Gia,Royal Manufacture and Investment Joint Stock Company,https://royaltiles.vn,https://royaltiles.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000RYG5,8480,Đang giao dịch
S4A,HOSE,Công ty Cổ phần Thủy điện Sê San 4A,Sesan 4A Hydropower Joint Stock Company,http://sesan4a.com.vn,http://sesan4a.com.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000S4A5,32600,Đang giao dịch
SAB,HOSE,Tổng Công ty Cổ phần Bia – Rượu – Nước giải khát Sài Gòn,Saigon Beer - Alcohol - Beverage Corporation,https://sabeco.com.vn,https://sabeco.com.vn/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000SAB4,44650,Đang giao dịch
SAM,HOSE,Công ty Cổ phần SAM Holdings,SAM Holdings Corporation,http://samholdings.com.vn,http://samholdings.com.vn/quan-he-co-dong,Công nghệ Thông tin,Phần mềm & Dịch vụ CNTT,VN000000SAM1,6080,Đang giao dịch
SAV,HOSE,Công ty Cổ phần Hợp tác Kinh tế và Xuất nhập khẩu Savimex,Savimex Corporation,http://savimex.com,http://savimex.com/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000SAV2,12400,Đang giao dịch
SBA,HOSE,Công ty Cổ phần Sông Ba,Song Ba Joint Stock Company,http://songba.vn,http://songba.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000SBA4,24850,Đang giao dịch
SBG,HOSE,Công ty Cổ phần Tập đoàn Cơ khí Công nghệ cao Siba,Siba High-Tech Mechanical Group Joint Stock Company,https://siba.com.vn,https://siba.com.vn/quan-he-co-dong,Công nghệ Thông tin,Phần mềm & Dịch vụ CNTT,VN000000SBG1,13750,Đang giao dịch
SBT,HOSE,Công ty Cổ phần Thành Thành Công - Biên Hòa,Thanh Thanh Cong - Bien Hoa Joint Stock Company,https://ttcsugar.com.vn,https://ttcsugar.com.vn/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000SBT4,23000,Đang giao dịch
SBV,HOSE,Công ty Cổ phần Siam Brothers Việt Nam,Siam Brothers Vietnam Joint Stock Company,https://siambrothersvn.com,https://siambrothersvn.com/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000SBV0,6080,Đang giao dịch
SC5,HOSE,Công ty Cổ phần Xây dựng Số 5,Construction Joint Stock Company No.5,http://sc5.vn,http://sc5.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000SC59,16650,Đang giao dịch
SCR,HOSE,Công ty Cổ phần Địa ốc Sài Gòn Thương Tín,Sai Gon Thuong Tin Real Estate Joint Stock Company,https://ttcland.vn,https://ttcland.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000SCR6,4450,Đang giao dịch
SCS,HOSE,Công ty Cổ phần Dịch vụ Hàng hóa Sài Gòn,Sai Gon Cargo Service Corporation,https://scsc.vn,https://scsc.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000SCS4,43200,Đang giao dịch
SFC,HOSE,Công ty Cổ phần Nhiên liệu Sài Gòn,Sai Gon Fuel Joint Stock Company,http://sfc.com.vn,http://sfc.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000SFC1,16500,Đang giao dịch
SFG,HOSE,Công ty Cổ phần Phân bón Miền Nam,The Southern Fertilizer Joint Stock Company,https://phanbonmiennam.com.vn,https://phanbonmiennam.com.vn/quan-he-co-dong,Nguyên vật liệu,Hóa chất & Phân bón,VN000000SFG2,10750,Đang giao dịch
SFI,HOSE,Công ty Cổ phần Đại lý Vận tải SAFI,Sea & Air Freight International,http://safi.com.vn,http://safi.com.vn/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000SFI8,27400,Đang giao dịch
SGN,HOSE,Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,Sai Gon Ground Services Joint Stock Company,https://sags.vn,https://sags.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000SGN6,53100,Đang giao dịch
SGR,HOSE,Công ty Cổ phần Tổng Công ty Cổ phần Địa ốc Sài Gòn,Saigon Real Estate Group Joint Stock Company,https://saigonres.com.vn,https://saigonres.com.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000SGR7,9900,Đang giao dịch
SGT,HOSE,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Sai Gon Telecommunication & Technologies Corporation,http://saigontel.vn,http://saigontel.vn/quan-he-co-dong,Công nghệ Thông tin,Phần mềm & Dịch vụ CNTT,VN000000SGT3,9500,Đang giao dịch
SHA,HOSE,Công ty Cổ phần Sơn Hà Sài Gòn,Son Ha Sai Gon Joint Stock Company,https://sonhasg.com.vn,https://sonhasg.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000SHA1,3850,Đang giao dịch
SHB,HOSE,Ngân hàng Thương mại Cổ phần Sài Gòn – Hà Nội,Sai Gon - Ha Noi Commercial Joint Stock Bank,https://shb.com.vn,https://shb.com.vn/quan-he-co-dongSSBNg,Tài chính,Ngân hàng,VN000000SHB9,11750,Đang giao dịch
SHI,HOSE,Công ty Cổ phần Quốc tế Sơn Hà,Son Ha International Corporation,https://sonha.com.vn,https://sonha.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000SHI4,14600,Đang giao dịch
SHP,HOSE,Công ty Cổ phần Thủy điện Miền Nam,Southern Hydropower Joint Stock Company,https://shp.vn,https://shp.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000SHP9,31000,Đang giao dịch
SIP,HOSE,Công ty Cổ phần Đầu tư Sài Gòn VRG,Sai Gon VRG Investment Corporation,https://saigonvrg.com.vn,https://saigonvrg.com.vn/quan-he-co-dong,Bất động sản,Bất động sản khu công nghiệp,VN000000SIP7,49000,Đang giao dịch
SJD,HOSE,Công ty Cổ phần Thủy điện Cần Đơn,Can Don Hydro Power Joint Stock Company,http://candon.com.vn,http://candon.com.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000SJD1,13900,Đang giao dịch
SJS,HOSE,Công ty Cổ phần SJ Group,SJ Group Joint Stock Company,https://sjgroups.com.vn,https://sjgroups.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000SJS9,56800,Đang giao dịch
SKG,HOSE,Công ty Cổ phần Tàu cao tốc Superdong – Kiên Giang,Superdong Fast Ferry Kien Giang Joint Stock Company,http://superdong.com.vn,http://superdong.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000SKG2,7600,Đang giao dịch
SMA,HOSE,Công ty Cổ phần Thiết bị Phụ tùng Sài Gòn,Saigon Machinery Spare Parts Joint Stock Company,https://thuydiendakglun.vcpholdings.com.vn,https://thuydiendakglun.vcpholdings.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000SMA1,6660,Đang giao dịch
SMB,HOSE,Công ty Cổ phần Bia Sài Gòn - Miền Trung,Sai Gon - Mien Trung Beer Joint Stock Company,https://biasaigonmt.com,https://biasaigonmt.com/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000SMB9,40850,Đang giao dịch
SMC,HOSE,Công ty Cổ phần Đầu tư Thương mại SMC,SMC Trading Investment Joint Stock Company,https://smc.vn,https://smc.vn/quan-he-co-dong,Nguyên vật liệu,Thép & Kim loại,VN000000SMC7,10200,Đang giao dịch
SPM,HOSE,Công ty Cổ phần S.P.M,S.P.M Corporation,https://spm.com.vn,https://spm.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000SPM9,8800,Đang giao dịch
SRC,HOSE,Công ty Cổ phần Cao su Sao Vàng,Sao Vang Rubber Joint Stock Company,https://casumina.com,https://casumina.com/quan-he-co-dong,Nguyên vật liệu,Hóa chất & Phân bón,VN000000SRC6,38750,Đang giao dịch
SRF,HOSE,Công ty Cổ phần SEAREFICO,SEAREFICO Corporation,https://searefico.com,https://searefico.com/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000SRF9,7260,Đang giao dịch
SSB,HOSE,Ngân hàng Thương mại Cổ phần Đông Nam Á,Southeast Asia Commercial Joint Stock Bank,https://seabank.com.vn,https://seabank.com.vn/quan-he-co-dong,Tài chính,Ngân hàng,VN000000SSB6,17700,Đang giao dịch
SSC,HOSE,Công ty Cổ phần Giống Cây trồng Miền Nam,Southern Seed Corporation,http://ssc.com.vn,http://ssc.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000SSC4,22700,Đang giao dịch
SSI,HOSE,Công ty Cổ phần Chứng khoán SSI,SSI Securities Corporation,https://ssi.com.vn,https://ssi.com.vn/quan-he-nha-dau-tuSTBNg,Tài chính,Dịch vụ Tài chính / Chứng khoán,VN000000SSI1,20900,Đang giao dịch
ST8,HOSE,Công ty Cổ phần Tập đoàn ST8,ST8 Holdings Joint Stock Company,https://st8.vn,https://st8.vn/quan-he-co-dong,Dịch vụ tiêu dùng & Bán lẻ,Bán lẻ tổng hợp,VN000000ST84,2040,Đang giao dịch
STB,HOSE,Ngân hàng thương mại cổ phần Sài Gòn Tài Lộc,Saigon Treasure Commercial Joint Stock Bank,https://sacombank.com.vn,https://sacombank.com.vn/quan-he-nha-dau-tuTCBNg,Tài chính,Ngân hàng,VN000000STB4,76700,Đang giao dịch
STG,HOSE,Công ty Cổ phần Kho vận Miền Nam,South Logistics Joint Stock Company,https://sotrans.com.vn,https://sotrans.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000STG3,30050,Đang giao dịch
STK,HOSE,Công ty Cổ phần Sợi Thế Kỷ,Century Synthetic Fiber Corporation,https://theky.vn,https://theky.vn/quan-he-co-dong,Hàng tiêu dùng,Hàng cá nhân & May mặc,VN000000STK5,7700,Đang giao dịch
SVC,HOSE,Công ty Cổ phần Dịch vụ Tổng hợp Sài Gòn,Saigon General Service Corporation,https://savico.com.vn,https://savico.com.vn/quan-he-co-dong,Dịch vụ tiêu dùng & Bán lẻ,Bán lẻ tổng hợp,VN000000SVC8,16350,Đang giao dịch
SVD,HOSE,Công ty Cổ phần Đầu tư & Thương mại Vũ Đăng,Vu Dang Investment & Trading Joint Stock Company,https://vudang.vn,https://vudang.vn/quan-he-co-dong,Dịch vụ tiêu dùng & Bán lẻ,Bán lẻ tổng hợp,VN000000SVD6,4380,Đang giao dịch
SVT,HOSE,Công ty Cổ phần Công nghệ Sài Gòn Viễn Đông,Sai Gon Vien Dong Technology Joint Stock Company,http://savitechco.com.vn,http://savitechco.com.vn/quan-he-co-dong,Công nghệ Thông tin,Phần mềm & Dịch vụ CNTT,VN000000SVT2,9400,Đang giao dịch
SZC,HOSE,Công ty Cổ phần Sonadezi Châu Đức,Sonadezi Chau Duc Shareholding Company,https://sonadezichauduc.com.vn,https://sonadezichauduc.com.vn/quan-he-co-dong,Bất động sản,Bất động sản khu công nghiệp,VN000000SZC9,19600,Đang giao dịch
SZL,HOSE,Công ty Cổ phần Sonadezi Long Thành,Sonadezi Long Thanh Shareholding Company,http://szl.com.vn,http://szl.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000SZL0,51300,Đang giao dịch
TAL,HOSE,Công ty cổ phần Đầu tư Bất động sản Taseco,Taseco Land Investment Joint Stock Company,https://tasecoland.vn,https://tasecoland.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000TAL1,23300,Đang giao dịch
