Mã CK,Tên Doanh Nghiệp,Tên thương hiệu / Viết tắt,Sàn giao dịch,Ngành ICB Cấp 1 (Industry),Ngành ICB Cấp 2 (Supersector),Ngành ICB Cấp 3 (Sector),Ngành ICB Cấp 4 (Subsector),Mã Phân Ngành (ICB Code L4),Nguồn tham khảo (Source),Trang chủ (Website),Cổng thông tin IR (Quan hệ CĐ)
BOT,Công ty Cổ phần BOT Cầu Thái Hà,BOT Cầu Thái Hà,UPCOM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,http://botcauthaiha.com.vn,http://botcauthaiha.com.vn/quan-he-co-dong
BQB,Công ty Cổ phần Bia Hà Nội - Quảng Bình,Bia Hà Nội - Quảng Bình,UPCOM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia,3533,FiinPro / Vietcap IQ & Sở GDCK,https://biaquangbinh.com/,https://biaquangbinh.com/quan-he-co-dong
BQP,Công ty Cổ phần Nhựa chất lượng cao Bình Thuận,Nhựa Chất Lượng Cao Bình Thuận,UPCOM,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",1353,FiinPro / Vietcap IQ & Sở GDCK,https://bqp.com.vn/,https://bqp.com.vn/quan-he-co-dong
BRR,Công ty Cổ phần Cao su Bà Rịa,Cao su Bà Rịa,UPCOM,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",1353,FiinPro / Vietcap IQ & Sở GDCK,http://baruco.com.vn/,http://baruco.com.vn/quan-he-co-dong
BRS,Công ty Cổ phần Dịch vụ Đô thị Bà Rịa,Dịch vụ Đô thị Bà Rịa,UPCOM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường,2799,FiinPro / Vietcap IQ & Sở GDCK,http://dothibaria.com,http://dothibaria.com/quan-he-co-dong
BSA,Công ty Cổ phần Thủy điện Buôn Đôn,Thủy điện Buôn Đôn,UPCOM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,7535,FiinPro / Vietcap IQ & Sở GDCK,http://thuydienbuondon.vn/,http://thuydienbuondon.vn/quan-he-co-dong
BSD,"Công ty Cổ phần Bia, Rượu Sài Gòn - Đồng Xuân","Bia, rượu Sài Gòn - Đồng Xuân",UPCOM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia,3533,FiinPro / Vietcap IQ & Sở GDCK,http://www.saigondongxuan.com.vn,http://www.saigondongxuan.com.vn/quan-he-co-dong
BSG,Công ty Cổ phần Xe khách Sài Gòn,Xe khách Sài Gòn,UPCOM,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Vận tải hành khách & Du lịch,5759,FiinPro / Vietcap IQ & Sở GDCK,https://saigonbus.com.vn/,https://saigonbus.com.vn/quan-he-co-dong
BSH,Công ty Cổ phần Bia Sài Gòn - Hà Nội,Bia Sài Gòn - Hà Nội,UPCOM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia,3533,FiinPro / Vietcap IQ & Sở GDCK,http://www.sabecohanoi.com.vn,http://www.sabecohanoi.com.vn/quan-he-co-dong
BSL,Công ty Cổ phần Bia Sài Gòn - Sông Lam,Bia Sài Gòn - Sông Lam,UPCOM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia,3533,FiinPro / Vietcap IQ & Sở GDCK,http://sasobeco.com.vn,http://sasobeco.com.vn/quan-he-co-dong
BSP,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,Bia Sài Gòn - Phú Thọ,UPCOM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia,3533,FiinPro / Vietcap IQ & Sở GDCK,http://www.saigonphutho.com.vn,http://www.saigonphutho.com.vn/quan-he-co-dong
BSQ,Công ty Cổ phần Bia Sài Gòn - Quảng Ngãi,Bia Sài Gòn - Quảng Ngãi,UPCOM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia,3533,FiinPro / Vietcap IQ & Sở GDCK,https://sabecoquangngai.com.vn/,https://sabecoquangngai.com.vn/quan-he-co-dong
BT1,Công ty Cổ phần Bảo vệ thực vật 1 Trung ương,Bảo vệ thực vật 1 TW,UPCOM,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",1357,FiinPro / Vietcap IQ & Sở GDCK,http://www.psc1.com,http://www.psc1.com/quan-he-co-dong
BT6,Công ty Cổ phần BETON 6,Bê tông 6,UPCOM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2353,FiinPro / Vietcap IQ & Sở GDCK,http://www.beton6.com,http://www.beton6.com/quan-he-co-dong
BTB,Công ty Cổ phần Bia Hà Nội - Thái Bình,Bia Hà Nội - Thái Bình,UPCOM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia,3533,FiinPro / Vietcap IQ & Sở GDCK,http://tbbeco.com.vn,http://tbbeco.com.vn/quan-he-co-dong
BTD,Công ty Cổ phần Bê tông ly tâm Thủ Đức,Bê tông ly tâm Thủ Đức,UPCOM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2353,FiinPro / Vietcap IQ & Sở GDCK,http://www.betongthuduc.com,http://www.betongthuduc.com/quan-he-co-dong
BTG,Công ty Cổ phần Bao bì Tiền Giang,Bao bì Tiền Giang,UPCOM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói,2723,FiinPro / Vietcap IQ & Sở GDCK,https://tigipack.com.vn,https://tigipack.com.vn/quan-he-co-dong
BTH,Công ty Cổ phần Chế tạo Biến thế và Vật liệu Điện Hà Nội,Biến thế và Vật liệu Điện Hà Nội,UPCOM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện,2737,FiinPro / Vietcap IQ & Sở GDCK,https://ctbt.com.vn/,https://ctbt.com.vn/quan-he-co-dong
BTN,Công ty Cổ phần Đầu tư Bitco Bình Định,Gạch Tuy Nen Bình Định,UPCOM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2353,FiinPro / Vietcap IQ & Sở GDCK,https://www.bitcobinhdinh.com/,https://www.bitcobinhdinh.com/quan-he-co-dong
BTU,Công ty Cổ phần Công trình Đô thị Bến Tre,Công trình Đô thị Bến Tre,UPCOM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường,2799,FiinPro / Vietcap IQ & Sở GDCK,http://congtrinhdothibentre.vn,http://congtrinhdothibentre.vn/quan-he-co-dong
BTV,Công ty Cổ phần Dịch vụ Du lịch Bến Thành,DV Du lịch Bến Thành,UPCOM,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Vận tải hành khách & Du lịch,5759,FiinPro / Vietcap IQ & Sở GDCK,https://benthanhtourist.com,https://benthanhtourist.com/quan-he-co-dong
BVG,Công ty Cổ phần Group Bắc Việt,Group Bắc Việt,UPCOM,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,1757,FiinPro / Vietcap IQ & Sở GDCK,https://www.bacvietgroup.com,https://www.bacvietgroup.com/quan-he-co-dong
BVL,Công ty Cổ phần BV Land,BV Land,UPCOM,Tài chính,Bất động sản,Bất động sản,"Tư Vấn, Định giá, Môi giới Bất động sản",8637,FiinPro / Vietcap IQ & Sở GDCK,https://bvland.vn/,https://bvland.vn/quan-he-co-dong
BVN,Công ty Cổ phần Bông Việt Nam,Bông Việt Nam,UPCOM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng cá nhân,3767,FiinPro / Vietcap IQ & Sở GDCK,https://bongvietnam.com.vn,https://bongvietnam.com.vn/quan-he-co-dong
BWA,Công ty Cổ phần Cấp thoát nước và Xây dựng Bảo Lộc,Cấp thoát nước và Xây dựng Bảo Lộc,UPCOM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước,7577,FiinPro / Vietcap IQ & Sở GDCK,https://capnuocbaoloc.com/,https://capnuocbaoloc.com/quan-he-co-dong
BWS,Công ty Cổ phần Cấp Nước Bà Rịa - Vũng Tàu,Cấp Nước Bà Rịa Vũng Tàu,UPCOM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước,7577,FiinPro / Vietcap IQ & Sở GDCK,https://www.bwaco.com.vn,https://www.bwaco.com.vn/quan-he-co-dong
C21,Công ty Cổ phần Thế kỷ 21,Thế kỷ 21,UPCOM,Tài chính,Bất động sản,Bất động sản,Bất động sản,8633,FiinPro / Vietcap IQ & Sở GDCK,https://c21.com.vn,https://c21.com.vn/quan-he-co-dong
C22,Công ty Cổ phần 22,Công ty 22,UPCOM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,3577,FiinPro / Vietcap IQ & Sở GDCK,http://congty22.net.vn,http://congty22.net.vn/quan-he-co-dong
C4G,Công ty Cổ phần Tập Đoàn Cienco4,Tập Đoàn Cienco4,UPCOM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,https://cienco4.vn/,https://cienco4.vn/quan-he-co-dong
C92,Công ty Cổ phần Xây dựng và Đầu tư 492,Xây dựng và Đầu tư 492,UPCOM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,http://c92.com.vn,http://c92.com.vn/quan-he-co-dong
CAD,Công ty Cổ phần Chế biến và Xuất khẩu Thủy sản Cadovimex,Thủy sản Cadovimex,UPCOM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,3573,FiinPro / Vietcap IQ & Sở GDCK,http://www.cadovimex.com/vn/,http://www.cadovimex.com/vn/quan-he-co-dong
CAF,Công ty Cổ phần Xuất nhập khẩu Nông Sản Thực Phẩm Cà Mau,Xuất nhập khẩu Nông Sản Thực Phẩm Cà Mau,UPCOM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,3573,FiinPro / Vietcap IQ & Sở GDCK,,https://finance.vietstock.vn/CAF/ho-so-doanh-nghiep.htm
CAT,Công ty Cổ phần Thủy sản Cà Mau,Thủy sản Cà Mau,UPCOM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,3573,FiinPro / Vietcap IQ & Sở GDCK,http://seaprimexco.com,http://seaprimexco.com/quan-he-co-dong
CBI,Công ty Cổ phần Gang thép Cao Bằng,Gang thép Cao Bằng,UPCOM,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,1757,FiinPro / Vietcap IQ & Sở GDCK,https://gtcb.com.vn/,https://gtcb.com.vn/quan-he-co-dong
CBS,Công ty Cổ phần Mía đường Cao Bằng,Mía đường Cao Bằng,UPCOM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,3577,FiinPro / Vietcap IQ & Sở GDCK,https://miaduongcaobang.vn/,https://miaduongcaobang.vn/quan-he-co-dong
CBV,Công ty Cổ phần CTCBIO Việt Nam,CTCBIO Việt Nam,UPCOM,Dược phẩm và Y tế,Y tế,Thiết bị và Dịch vụ Y tế,Chăm sóc y tế,4533,FiinPro / Vietcap IQ & Sở GDCK,https://ctcbio.com.vn/,https://ctcbio.com.vn/quan-he-co-dong
CC1,Tổng Công ty Xây dựng số 1 - CTCP,TCT Xây dựng số 1,UPCOM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,https://www.cc1.vn,https://www.cc1.vn/quan-he-co-dong
CCA,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cần Thơ,XNK Thuỷ sản Cần Thơ,UPCOM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,3573,FiinPro / Vietcap IQ & Sở GDCK,http://www.caseamex.com,http://www.caseamex.com/quan-he-co-dong
CCD,Công ty Cổ phần Xây dựng và Bảo trì cầu đường,XD và Bảo trì cầu đường,UPCOM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,,https://finance.vietstock.vn/CCD/ho-so-doanh-nghiep.htm
CCM,Công ty Cổ phần Khoáng sản và Xi măng Cần Thơ,Xi măng Cần Thơ,UPCOM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2353,FiinPro / Vietcap IQ & Sở GDCK,http://ximangcantho.vn,http://ximangcantho.vn/quan-he-co-dong
CCP,Công ty Cổ phần Cảng Cửa Cấm Hải Phòng,Cảng Cửa Cấm,UPCOM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2777,FiinPro / Vietcap IQ & Sở GDCK,http://www.cuacamport.com.vn,http://www.cuacamport.com.vn/quan-he-co-dong
CCS,Công ty Cổ phần Chíp Sáng,Chíp Sáng,UPCOM,Tài chính,Bất động sản,Bất động sản,Bất động sản,8633,FiinPro / Vietcap IQ & Sở GDCK,http://chipsang.vn/,http://chipsang.vn/quan-he-co-dong
CCT,Công ty Cổ phần Cảng Cần Thơ,Cảng Cần Thơ,UPCOM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2777,FiinPro / Vietcap IQ & Sở GDCK,http://www.canthoport.com.vn,http://www.canthoport.com.vn/quan-he-co-dong
CCV,Công ty Cổ phần Tư vấn Xây dựng Công nghiệp và Đô thị Việt Nam,XD CN và đô thị Việt Nam,UPCOM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,http://www.vcc.com.vn,http://www.vcc.com.vn/quan-he-co-dong
CDG,Công ty Cổ phần Cầu Đuống,VLXD Cầu Đuống,UPCOM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2353,FiinPro / Vietcap IQ & Sở GDCK,https://gachngoicauduong.com/,https://gachngoicauduong.com/quan-he-co-dong
CDO,Công ty Cổ phần Tư vấn Thiết kế và Phát triển Đô thị,Tư vấn Thiết kế và PT Đô thị,UPCOM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,http://cddc.vn/,http://cddc.vn/quan-he-co-dong
CDP,Công ty Cổ phần Dược phẩm Trung ương Codupha,Dược phẩm TW Codupha,UPCOM,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,4577,FiinPro / Vietcap IQ & Sở GDCK,http://www.codupha.com.vn,http://www.codupha.com.vn/quan-he-co-dong
CDR,Công ty Cổ phần Xây dựng Cao su Đồng Nai,Xây dựng Cao su Đồng Nai,UPCOM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,http://dorucon.com.vn,http://dorucon.com.vn/quan-he-co-dong
CEN,Công ty Cổ phần CENCON Việt Nam,CENCON Việt Nam,UPCOM,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Bán lẻ phức hợp,5373,FiinPro / Vietcap IQ & Sở GDCK,http://cencon.vn,http://cencon.vn/quan-he-co-dong
CFM,Công ty Cổ phần CFM Private Equity,CFM Private Equity,UPCOM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Đào tạo & Việc làm,2793,FiinPro / Vietcap IQ & Sở GDCK,https://www.cfminvestment.com,https://www.cfminvestment.com/quan-he-co-dong
CFV,Công ty Cổ phần Cà phê Thắng Lợi,Cà phê Thắng Lợi,UPCOM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Đồ uống & giải khát,3537,FiinPro / Vietcap IQ & Sở GDCK,http://thangloicoffee.com.vn,http://thangloicoffee.com.vn/quan-he-co-dong
CGV,Công ty Cổ phần Vinaceglass,Vinaceglass JSC,UPCOM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2353,FiinPro / Vietcap IQ & Sở GDCK,http://www.vinaceglass.com.vn/,http://www.vinaceglass.com.vn/quan-he-co-dong
CH5,Công ty Cổ phần Xây dựng số 5 Hà Nội,Xây dựng số 5 Hà Nội,UPCOM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,http://www.ch5.vn,http://www.ch5.vn/quan-he-co-dong
CHC,Công ty Cổ phần Cẩm Hà,Nội thất Cẩm Hà,UPCOM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2353,FiinPro / Vietcap IQ & Sở GDCK,http://www.camhafurniture.com,http://www.camhafurniture.com/quan-he-co-dong
CHS,Công ty Cổ phần Chiếu sáng Công cộng Thành phố Hồ Chí Minh,Chiếu sáng TPHCM,UPCOM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Tiện ích khác,7575,FiinPro / Vietcap IQ & Sở GDCK,http://www.chieusang.com,http://www.chieusang.com/quan-he-co-dong
CI5,Công ty Cổ phần Đầu tư Xây dựng số 5,Đầu tư Xây dựng số 5,UPCOM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,https://cic5.com.vn,https://cic5.com.vn/quan-he-co-dong
CID,Công ty Cổ phần Xây dựng và Phát triển Cơ sở Hạ tầng,Xây dựng và Phát triển Cơ sở Hạ tầng,UPCOM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,https://www.cinde.com.vn,https://www.cinde.com.vn/quan-he-co-dong
CIP,Công ty Cổ phần Xây lắp và Sản xuất Công nghiệp,XL và SX công nghiệp,UPCOM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,http://cipc.vn,http://cipc.vn/quan-he-co-dong
CK8,Công ty Cổ phần Cơ khí 120,Cơ khí 120,UPCOM,Tài chính,Bất động sản,Bất động sản,Bất động sản,8633,FiinPro / Vietcap IQ & Sở GDCK,https://cokhi120.com/,https://cokhi120.com/quan-he-co-dong
CKA,Công ty Cổ phần Cơ khí An Giang,Cơ khí An Giang,UPCOM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp,2757,FiinPro / Vietcap IQ & Sở GDCK,http://www.cokhiangiang.com,http://www.cokhiangiang.com/quan-he-co-dong
CKD,Công ty Cổ phần Cơ khí Đông Anh Licogi,Đông Anh Licogi,UPCOM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp,2757,FiinPro / Vietcap IQ & Sở GDCK,https://ckda.vn/,https://ckda.vn/quan-he-co-dong
CLI,Công ty Cổ phần Tập đoàn CNCTech,Tập đoàn CNCTech,UPCOM,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Kim Loại màu,1755,FiinPro / Vietcap IQ & Sở GDCK,https://cnctech.com.vn/,https://cnctech.com.vn/quan-he-co-dong
CLX,Công ty Cổ phần Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX),XNK và ĐT Chợ Lớn (CHOLIMEX),UPCOM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,3577,FiinPro / Vietcap IQ & Sở GDCK,http://www.cholimex.com.vn/,http://www.cholimex.com.vn/quan-he-co-dong
CMD,Công ty Cổ phần Vật liệu xây dựng và Trang trí nội thất TP. Hồ Chí Minh,VLXD và Nội thất TP.HCM,UPCOM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2353,FiinPro / Vietcap IQ & Sở GDCK,http://www.cmid.com.vn,http://www.cmid.com.vn/quan-he-co-dong
CMF,Công ty Cổ phần Thực phẩm Cholimex,Thực phẩm Cholimex,UPCOM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,3577,FiinPro / Vietcap IQ & Sở GDCK,https://cholimexfood.com.vn,https://cholimexfood.com.vn/quan-he-co-dong
CMI,Công ty Cổ phần CMISTONE Việt Nam,CMISTONE Việt Nam,UPCOM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2353,FiinPro / Vietcap IQ & Sở GDCK,https://www.cmistone.com.vn/,https://www.cmistone.com.vn/quan-he-co-dong
CMK,Công ty Cổ phần Cơ khí Mạo Khê - Vinacomin,Cơ khí Mạo Khê - Vinacomin,UPCOM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp,2757,FiinPro / Vietcap IQ & Sở GDCK,http://cokhimaokhe.com.vn,http://cokhimaokhe.com.vn/quan-he-co-dong
CMM,Công ty Cổ phần Camimex,Camimex,UPCOM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,3577,FiinPro / Vietcap IQ & Sở GDCK,https://cmmseafood.com.vn/,https://cmmseafood.com.vn/quan-he-co-dong
CMN,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Colusa -  Miliket,UPCOM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,3577,FiinPro / Vietcap IQ & Sở GDCK,http://www.comifood.com,http://www.comifood.com/quan-he-co-dong
CMP,Công ty Cổ phần Cảng Chân Mây,Cảng Chân Mây,UPCOM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2777,FiinPro / Vietcap IQ & Sở GDCK,https://chanmayport.com.vn,https://chanmayport.com.vn/quan-he-co-dong
CMT,Công ty Cổ phần Công nghệ mạng và Truyền thông,CN mạng và Truyền thông,UPCOM,Công nghệ Thông tin,Công nghệ Thông tin,Phần mềm & Dịch vụ Máy tính,Phần mềm,9537,FiinPro / Vietcap IQ & Sở GDCK,https://www.infonet.com.vn,https://www.infonet.com.vn/quan-he-co-dong
CMW,Công ty Cổ phần Cấp nước Cà Mau,Cấp nước Cà Mau,UPCOM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước,7577,FiinPro / Vietcap IQ & Sở GDCK,https://ctncamau.com.vn/,https://ctncamau.com.vn/quan-he-co-dong
CNA,Công ty Cổ phần Tổng công ty Chè Nghệ An,Tổng công ty Chè Nghệ An - CTCP,UPCOM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,3573,FiinPro / Vietcap IQ & Sở GDCK,http://ngheantea.com.vn/,http://ngheantea.com.vn/quan-he-co-dong
CNC,Công ty Cổ phần Công nghệ cao Traphaco,Công nghệ cao Traphaco,UPCOM,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,4577,FiinPro / Vietcap IQ & Sở GDCK,https://www.traphacocnc.com,https://www.traphacocnc.com/quan-he-co-dong
CNN,"Công ty Cổ phần Tư vấn Công nghệ, Thiết bị và Kiểm định Xây dựng - CONINCO",Xây dựng Coninco,UPCOM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,https://www.coninco.com.vn,https://www.coninco.com.vn/quan-he-co-dong
CNT,Công ty Cổ phần Tập đoàn CNT,Tập đoàn CNT,UPCOM,Tài chính,Bất động sản,Bất động sản,Bất động sản,8633,FiinPro / Vietcap IQ & Sở GDCK,https://cnt.com.vn/,https://cnt.com.vn/quan-he-co-dong
CPA,Công ty Cổ phần Cà phê Phước An,Cà phê Phước An,UPCOM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Đồ uống & giải khát,3537,FiinPro / Vietcap IQ & Sở GDCK,http://www.phuocancoffee.com.vn,http://www.phuocancoffee.com.vn/quan-he-co-dong
CPH,Công ty Cổ phần Phục vụ Mai táng Hải Phòng,PV mai táng Hải Phòng,UPCOM,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Dịch vụ tiêu dùng chuyên ngành,5377,FiinPro / Vietcap IQ & Sở GDCK,http://maihoatanghaiphong.vn,http://maihoatanghaiphong.vn/quan-he-co-dong
CPI,Công ty Cổ phần Đầu tư Cảng Cái Lân,Đầu tư Cảng Cái Lân,UPCOM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2777,FiinPro / Vietcap IQ & Sở GDCK,http://www.cailanportinvest.com.vn,http://www.cailanportinvest.com.vn/quan-he-co-dong
CQN,Công ty Cổ phần Cảng Quảng Ninh,Cảng Quảng Ninh,UPCOM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2777,FiinPro / Vietcap IQ & Sở GDCK,https://quangninhport.com.vn/,https://quangninhport.com.vn/quan-he-co-dong
CQT,Công ty Cổ phần Xi măng Quán Triều VVMI,Xi măng Quán Triều VVMI,UPCOM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2353,FiinPro / Vietcap IQ & Sở GDCK,http://ximangquantrieu.com,http://ximangquantrieu.com/quan-he-co-dong
CSI,Công ty Cổ phần Chứng khoán Kirin,Chứng khoán Kirin,UPCOM,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,8777,FiinPro / Vietcap IQ & Sở GDCK,https://kirins.vn/,https://kirins.vn/quan-he-co-dong
CT3,Công ty Cổ phần Đầu tư và Xây dựng công trình 3,Xây dựng công trình 3,UPCOM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,http://www.ct3.com.vn,http://www.ct3.com.vn/quan-he-co-dong
CT6,Công ty Cổ phần Công trình 6,Công trình 6,UPCOM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,http://www.ctcpct6.com.vn,http://www.ctcpct6.com.vn/quan-he-co-dong
CTC,Công ty Cổ phần Tập đoàn Hoàng Kim Tây Nguyên,Tập đoàn Hoàng Kim Tây Nguyên,UPCOM,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Vận tải hành khách & Du lịch,5759,FiinPro / Vietcap IQ & Sở GDCK,https://gialaitourist.com.vn/,https://gialaitourist.com.vn/quan-he-co-dong
